"id","pop","lat","lon","year","sex","age","svl","weight","species"
"AA24187","Kowen",-35.3324829202578,149.337486679326,"2009","F","",NA,NA,"Tympanocryptis lineata"
"AA24261","Royalla",-35.513338463411,149.18179412595,"2010","M","SA",46.5,6.43,"Tympanocryptis lineata"
"AA24349","Kowen",-35.3231018304945,149.354122496216,"2014","M","A",80.2,9.06,"Tympanocryptis lineata"
"AA24350","Tuggeranong",-35.4397434397853,149.040766349057,"2014","M","A",51.8,8.4,"Tympanocryptis lineata"
"AA24001","Kowen",-35.3353583726069,149.340424365797,"2006",NA,"J",32.7,3.82,"Tympanocryptis lineata"
"AA24298","Googong",-35.436423947407,149.243512412579,"2013","UK","J",28.7,3.32,"Tympanocryptis lineata"
"AA24299","Googong",-35.4256173860005,149.237514101004,"2013","M","A",76.7,8.64,"Tympanocryptis lineata"
"AA24361","Googong",-35.4303381804457,149.249246433396,"2015","U","J",33.6,4.2,"Tympanocryptis lineata"
"AA24151","Royalla",-35.4921926261818,149.190336233608,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24108","Royalla",-35.4959560038055,149.180009705759,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24109","Royalla",-35.504917647053,149.182256240783,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24262","Kowen",-35.3129999040766,149.331079077633,"2010","F","A",61.2,8.35,"Tympanocryptis lineata"
"AA24188","Royalla",-35.4908555717025,149.200311755823,"2009","F","",NA,NA,"Tympanocryptis lineata"
"AA24300","Googong",-35.4492657920493,149.245059113951,"2013","M","SA",44.8,6.53,"Tympanocryptis lineata"
"AA24002","Kowen",-35.3329302600861,149.339031839978,"2006",NA,"J",36.1,5.84,"Tympanocryptis lineata"
"AA24301","Googong",-35.4508018833045,149.245526154535,"2013","UK","SA",46.5,5.85,"Tympanocryptis lineata"
"AA24302","Googong",-35.4427688033807,149.229568745964,"2013","UK","SA",42.8,6.87,"Tympanocryptis lineata"
"AA24362","Googong",-35.4290818726869,149.225824011104,"2015","U","J",35.9,4.98,"Tympanocryptis lineata"
"AA24152","Royalla",-35.5086228460892,149.184644674434,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24110","Royalla",-35.4945246590962,149.177855836442,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24111","Kowen",-35.3257474537752,149.325793379961,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24263","Kowen",-35.3346013807468,149.330337533864,"2010","M","SA",46.2,5.93,"Tympanocryptis lineata"
"AA24189","Royalla",-35.4978359357545,149.188782543673,"2009","J","",NA,NA,"Tympanocryptis lineata"
"AA24003","Kowen",-35.3304453843451,149.342811893371,"2006","M","SA",43,6.19,"Tympanocryptis lineata"
"AA24303","Googong",-35.4419962009597,149.245967618023,"2013","UK","J",37.5,4.66,"Tympanocryptis lineata"
"AA24304","Googong",-35.4622955223321,149.209743233639,"2013","UK","J",24,3.36,"Tympanocryptis lineata"
"AA24363","Googong",-35.4265936298539,149.237779101484,"2015","F","A",64.4,9.54,"Tympanocryptis lineata"
"AA24112","Royalla",-35.5105042733102,149.153450324595,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24113","Kowen",-35.2929863888114,149.336870907519,"2007","F?",NA,NA,NA,"Tympanocryptis lineata"
"AA24264","Kowen",-35.316458055707,149.337656516924,"2010","F","SA",45.8,6.71,"Tympanocryptis lineata"
"AA24190","Royalla",-35.4780828104793,149.17569651396,"2009","J","",NA,NA,"Tympanocryptis lineata"
"AA24004","Kowen",-35.3264557917028,149.334982092154,"2006","M","A",74.5,10.06,"Tympanocryptis lineata"
"AA24305","Googong",-35.4287236656599,149.234221310459,"2013","M","J",20.3,3.29,"Tympanocryptis lineata"
"AA24306","Googong",-35.4265495477886,149.229121494927,"2013","M?","SA",39.4,4.75,"Tympanocryptis lineata"
"AA24364","Googong",-35.4403180908201,149.230838333459,"2015","U","J",34.8,4.42,"Tympanocryptis lineata"
"AA24153","Royalla",-35.5005820431255,149.177288015905,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24114","Royalla",-35.5205451521014,149.179679772251,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24191","Royalla",-35.4914582869958,149.165774778073,"2009","J","",NA,NA,"Tympanocryptis lineata"
"AA24265","Kowen",-35.3232524274442,149.358077022819,"2010","M","SA",39.2,3.87,"Tympanocryptis lineata"
"AA24192","Royalla",-35.5033527921489,149.180062223969,"2009","F","",NA,NA,"Tympanocryptis lineata"
"AA24005","Kowen",-35.3161716595508,149.333743966524,"2006","F","SA",43.6,4.31,"Tympanocryptis lineata"
"AA24307","Googong",-35.4493629544435,149.230660379705,"2013","UK","SA",47.1,5.02,"Tympanocryptis lineata"
"AA24308","Googong",-35.4293551498521,149.241482920481,"2013","F?","SA",46.6,6.53,"Tympanocryptis lineata"
"AA24365","Googong",-35.4346973016439,149.236168264056,"2015","U","J",28.7,2.77,"Tympanocryptis lineata"
"AA24154","Royalla",-35.5016494009632,149.164015084006,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24115","Royalla",-35.4970474539775,149.186528475421,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24193","Royalla",-35.4962990938293,149.200529431688,"2009","M","",NA,NA,"Tympanocryptis lineata"
"AA24266","Kowen",-35.3203567607003,149.372190607786,"2010","M","A",82.8,9.45,"Tympanocryptis lineata"
"AA24194","Royalla",-35.4957400131798,149.163040355098,"2009","J","",NA,NA,"Tympanocryptis lineata"
"AA24351","Googong",-35.4421330580727,149.243340889283,"2014","M","A",73.8,8.86,"Tympanocryptis lineata"
"AA24006","Kowen",-35.3284105975995,149.322661623006,"2006","F","A",64.1,8.19,"Tympanocryptis lineata"
"AA24309","Googong",-35.4478678812273,149.235256672978,"2013","UK","J",36.2,4.58,"Tympanocryptis lineata"
"AA24310","Googong",-35.4466627034917,149.236341940809,"2013","UK","J",20.4,4.88,"Tympanocryptis lineata"
"AA24366","Googong",-35.4547652745007,149.227871028736,"2015","M","A",66.7,9.03,"Tympanocryptis lineata"
"AA24195","Royalla",-35.5026196451415,149.187276083884,"2009","J","",NA,NA,"Tympanocryptis lineata"
"AA24116","Royalla",-35.5071128171813,149.186605164561,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24196","Royalla",-35.503322567377,149.175653225942,"2009","F","",NA,NA,"Tympanocryptis lineata"
"AA24284","Kowen",-35.3319146543787,149.33068312484,"2011","F","",NA,NA,"Tympanocryptis lineata"
"AA24267","Kowen",-35.3080262503189,149.332658846049,"2010","F","A",63.5,7.82,"Tympanocryptis lineata"
"AA24311","Royalla",-35.5087731282895,149.181192811121,"2013","M","",NA,NA,"Tympanocryptis lineata"
"AA24292","Royalla",-35.5097608989372,149.195125054965,"2012","M?","",NA,NA,"Tympanocryptis lineata"
"AA24117","Royalla",-35.4895960482007,149.185781018281,"2007","M",NA,NA,NA,"Tympanocryptis lineata"
"AA24312","Googong",-35.4401124010231,149.22172220408,"2013","UK","J",22.9,3.82,"Tympanocryptis lineata"
"AA24367","Googong",-35.4339712257818,149.218751824361,"2015","F","A",84.5,9.95,"Tympanocryptis lineata"
"AA24118","Royalla",-35.4954793078698,149.170729880341,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24119","Royalla",-35.4863683177365,149.182278596919,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24197","Royalla",-35.5050067156547,149.191401039574,"2009","F","",NA,NA,"Tympanocryptis lineata"
"AA24293","Royalla",-35.5156268068451,149.171291769247,"2012","F","A",82.3,10.04,"Tympanocryptis lineata"
"AA24285","Royalla",-35.5170310398903,149.17116110413,"2011","J","",NA,NA,"Tympanocryptis lineata"
"AA24313","Googong",-35.4370961328774,149.225724390121,"2013","M","A",82.3,9.78,"Tympanocryptis lineata"
"AA24294","Royalla",-35.488035997681,149.181959326112,"2012","M?","",NA,NA,"Tympanocryptis lineata"
"AA24387","Googong",-35.4576212577604,149.223481028836,"2016","M","A",53.3,7.45,"Tympanocryptis lineata"
"AA24155","Royalla",-35.493846520715,149.178140355829,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24314","Googong",-35.4400450872194,149.208565449311,"2013","UK","SA",38.2,5.24,"Tympanocryptis lineata"
"AA24368","Googong",-35.4455666405448,149.22022368187,"2015","U","J",28.3,3.33,"Tympanocryptis lineata"
"AA24120","Royalla",-35.5011685467252,149.177548461412,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24121","Royalla",-35.5011678635058,149.178728907928,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24198","Royalla",-35.5006833697357,149.178913453458,"2009","M","",NA,NA,"Tympanocryptis lineata"
"AA24199","Royalla",-35.4906304972905,149.169108101295,"2009","F","",NA,NA,"Tympanocryptis lineata"
"AA24315","Googong",-35.4456160847697,149.229721964795,"2013","UK","J",25.1,5.46,"Tympanocryptis lineata"
"AA24295","Royalla",-35.5037286336097,149.19204034088,"2012","M?","",NA,NA,"Tympanocryptis lineata"
"AA24316","Googong",-35.4391968127712,149.222309027549,"2013","M","SA",43.5,5.24,"Tympanocryptis lineata"
"AA24317","Googong",-35.4500936852225,149.22542573551,"2013","F","A",61.5,7.79,"Tympanocryptis lineata"
"AA24369","Googong",-35.4261008135055,149.239753659334,"2015","U","SA",47.9,4.61,"Tympanocryptis lineata"
"AA24370","Googong",-35.4444587126252,149.240310607807,"2015","U","J",26.6,3.6,"Tympanocryptis lineata"
"AA24318","Googong",-35.4386797044105,149.229796957479,"2013","M","A",53.8,7.68,"Tympanocryptis lineata"
"AA24388","Googong",-35.4356081688665,149.225736396308,"2016","u","SA",46,8.63,"Tympanocryptis lineata"
"AA24319","Googong",-35.4503275553367,149.227541969471,"2013","M","SA",40.9,5.89,"Tympanocryptis lineata"
"AA24371","Googong",-35.4514162819232,149.226764547523,"2015","M","SA",40.4,4.28,"Tympanocryptis lineata"
"AA24320","Googong",-35.4269699541993,149.246890111075,"2013","F","A",57.7,6.48,"Tympanocryptis lineata"
"AA24321","Royalla",-35.5125987771243,149.19030397426,"2013","F","A",70.6,9.28,"Tympanocryptis lineata"
"AA24372","Googong",-35.4362748242891,149.243238960362,"2015","F","SA",42,5.89,"Tympanocryptis lineata"
"AA24373","Googong",-35.4509710788503,149.230539903703,"2015","U","J",24.8,4.18,"Tympanocryptis lineata"
"AA24322","Googong",-35.4516710329603,149.240287119142,"2013","F","A",75.2,9.22,"Tympanocryptis lineata"
"AA24374","Googong",-35.4405881110123,149.226803866293,"2015","U","J",33.1,3.27,"Tympanocryptis lineata"
"AA24375","Googong",-35.4400085032776,149.226878496828,"2015","F","SA",45.7,6.48,"Tympanocryptis lineata"
"AA24323","Googong",-35.4519661683064,149.247080279162,"2013","F","A",82.3,9.9,"Tympanocryptis lineata"
"AA24324","Googong",-35.4471343345116,149.232312040064,"2013","F","A",80.1,11.16,"Tympanocryptis lineata"
"AA24376","Googong",-35.4357295595799,149.237286914358,"2015","F","A",63.4,8.11,"Tympanocryptis lineata"
